Reference designators,Quantity,MPN,Manufacturer,Part description,Value,SPN,Supplier,Package
"C1,C2,C4","3","","","Non-Polarized Capacitor, 100nF, C_Disc_D5.0mm_W2.5mm_P5.00mm","100nF","","","C_Disc_D5.0mm_W2.5mm_P5.00mm"
"C3","1","","","Non-Polarized Capacitor, 10uF, CP_Radial_D5.0mm_P2.00mm","10uF","","","CP_Radial_D5.0mm_P2.00mm"
"D1","1","1N4148-1","Microchip","Diode","","","",""
"J1","1","2222","Adafruit","","","","",""
"J2,J3","2","SDS-50J","Same Sky (Formerly CUI Devices)","Connector","","","",""
"R1,R2,R3,R4","4","","","Resistor, 10kΩ, H_AXIAL-P7.62_D2.5","10kΩ","","","H_AXIAL-P7.62_D2.5"
"R5","1","","","Resistor, 10Ω, H_AXIAL-P7.62_D2.5","10Ω","","","H_AXIAL-P7.62_D2.5"
"R6","1","","","Resistor, 33Ω, H_AXIAL-P7.62_D2.5","33Ω","","","H_AXIAL-P7.62_D2.5"
"R7","1","","","Resistor, 220Ω, H_AXIAL-P7.62_D2.5","220Ω","","","H_AXIAL-P7.62_D2.5"
"R8","1","","","Resistor, 1kΩ, H_AXIAL-P7.62_D2.5","1kΩ","","","H_AXIAL-P7.62_D2.5"
"RV1,RV10,RV2,RV3,RV4,RV5,RV6,RV7,RV8,RV9","10","PDB181-P415K-103B","Bourns","Potentiometer","","","",""
"SW1,SW2,SW3,SW4","4","MX2A-LC3W","Cherry Americas LLC","Switch","","","",""
"U1,U2","2","MCP3008-I/P","Microchip Technology","Integrated Circuit","","","",""
"U3","1","H11L1M","ON Semiconductor","Isolator","","","",""
